ASXCode,CompanyName,GICsIndustryGroup
MIL,Millennium Services Group Limited,Commercial & Professional Services
MIN,Mineral Resources Limited,Materials
MIO,Macarthur Minerals Limited,Materials
MIR,Mirrabooka Investments Limited,Not Applic
MKG,Mako Gold Limited,Materials
MKL,Mighty Kingdom Limited,Media & Entertainment
MKM,Mackerel Metals Limited,Class Pend
MKR,Manuka Resources Ltd.,Materials
MLG,Mlg Oz Limited,Materials
MLM,Metallica Minerals Limited,Materials
MLS,Metals Australia Ltd,Materials
MLX,Metals X Limited,Materials
MM1,Midas Minerals Ltd,Materials
MM8,Medallion Metals Limited.,Materials
MMA,Maronan Metals Limited,Materials
MMC,Mitre Mining Corporation Limited,Materials
MME,Moneyme Limited,Diversified Financials
MMI,Metro Mining Limited,Materials
MMM,Marley Spoon Ag,Consumer Services
MMR,Mec Resources Limited,Energy
MMS,Mcmillan Shakespeare Limited,Commercial & Professional Services
MNB,Minbos Resources Limited,Materials
MND,Monadelphous Group Limited,Capital Goods
MNS,Magnis Energy Technologies Ltd,Materials
MNY,Money3 Corporation Limited,Diversified Financials
MOB,Mobilicom Limited,Technology Hardware & Equipment
MOH,Moho Resources Limited,Materials
MOM,Moab Minerals Limited,Materials
MOQ,Moq Limited,Software & Services
MOT,Metrics Income Opportunities Trust,Not Applic
MOV,Move Logistics Group Limited,Transportation
MOZ,Mosaic Brands Limited,Retailing
MP1,Megaport Limited,Software & Services
MPA,Mad Paws Holdings Limited,Retailing
MPG,Many Peaks Gold Limited,Materials
MPL,Medibank Private Limited,Insurance
MPP,Metro Performance Glass Limited,Capital Goods
MPR,Mpower Group Limited,Diversified Financials
MPX,Mustera Property Group Limited,Real Estate
MQG,Macquarie Group Limited,Diversified Financials
MQR,Marquee Resources Limited,Materials
MR1,Montem Resources Limited.,Materials
MRC,Mineral Commodities Ltd,Materials
MRD,Mount Ridley Mines Limited,Materials
MRG,Murray River Organics Group Limited,"Food, Beverage & Tobacco"
MRI,My Rewards International Limited,Commercial & Professional Services
MRIN,My Rewards International Limited,Commercial & Professional Services
MRL,Mayur Resources Limited,Materials
MRM,Mma Offshore Limited,Energy
MRQ,Mrg Metals Limited,Materials
MRR,Minrex Resources Limited,Materials
MRZ,Mont Royal Resources Limited,Materials
MSB,Mesoblast Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
MSG,Mcs Services Limited,Commercial & Professional Services
MSI,Multistack International Limited,Capital Goods
MSL,Msl Solutions Limited.,Software & Services
MSV,Mitchell Services Limited,Materials
MTB,Mount Burgess Mining Nl,Materials
MTC,Metalstech Limited,Materials
MTH,Mithril Resources Limited,Materials
MTM,Mt Monger Resources Limited,Materials
MTO,Motorcycle Holdings Limited,Retailing
MTR,Metal Tiger Plc,Materials
MTS,Metcash Limited,Food & Staples Retailing
MVF,Monash Ivf Group Limited,Health Care Equipment & Services
MVL,Marvel Gold Limited,Materials
MVP,Medical Developments International Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
MWY,Midway Limited,Materials
MX1,Micro-X Limited,Health Care Equipment & Services
MXC,Mgc Pharmaceuticals Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
MXI,Maxiparts Limited,Capital Goods
MXO,Motio Ltd,Media & Entertainment
MXR,Maximus Resources Limited,Materials
MXT,Metrics Master Income Trust,Not Applic
MYE,Metarock Group Limited,Materials
MYG,Mayfield Group Holdings Limited,Capital Goods
MYL,Mallee Resources Limited,Materials
MYR,Myer Holdings Limited,Retailing
MYS,Mystate Limited,Banks
MYX,Mayne Pharma Group Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
MZZ,Matador Mining Limited,Materials
N1H,N1 Holdings Limited,Banks
NAB,National Australia Bank Limited,Banks
NAC,Naos Ex-50 Opportunities Company Limited,Not Applic
NAE,New Age Exploration Limited,Energy
NAG,Nagambie Resources Limited,Materials
NAM,Namoi Cotton Limited,Commercial & Professional Services
NAN,Nanosonics Limited,Health Care Equipment & Services
NBI,Nb Global Corporate Income Trust,Not Applic
NC1,Nico Resources Limited,Materials
NC6,Nanollose Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
NCC,Naos Emerging Opportunities Company Limited,Not Applic
NCK,Nick Scali Limited,Retailing
NCL,Netccentric Limited,Media & Entertainment
NCM,Newcrest Mining Limited,Materials
NCR,Nucoal Resources Limited,Materials
NCZ,New Century Resources Limited,Materials
NEA,Nearmap Ltd,Software & Services
NEC,Nine Entertainment Co. Holdings Limited,Media & Entertainment
NES,Nelson Resources Limited.,Materials
NESN,Nelson Resources Limited.,Materials
NET,Netlinkz Limited,Software & Services
NEU,Neuren Pharmaceuticals Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
NEW,New Energy Solar Limited,Utilities
NFL,Norfolk Metals Limited,Materials
NGE,Nge Capital Limited,Not Applic
NGI,Navigator Global Investments Limited,Diversified Financials
NGL,Nightingale Intelligent Systems Inc,Capital Goods
NGS,Nutritional Growth Solutions Ltd,Household & Personal Products
NGY,Nuenergy Gas Limited,Energy
NHC,New Hope Corporation Limited,Energy
NHE,Noble Helium Limited,Energy
NHF,Nib Holdings Limited,Insurance
NIC,Nickel Industries Limited,Materials
NIM,Nimy Resources Limited,Materials
NIS,Nickelsearch Limited,Materials
NKL,Nickelx Limited,Materials
NME,Nex Metals Exploration Limited,Materials
NML,Navarre Minerals Limited,Materials
NMR,Native Mineral Resources Holdings Limited,Materials
NMT,Neometals Ltd,Materials
NNG,Nexion Group Ltd,Software & Services
NNL,Nordic Nickel Limited,Materials
NOL,Nobleoak Life Limited,Insurance
NOR,Norwood Systems Limited,Software & Services
NOU,Noumi Limited,"Food, Beverage & Tobacco"
NOV,Novatti Group Limited,Software & Services
NOX,Noxopharm Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
NPM,Newpeak Metals Limited,Materials
NPR,Newmark Property Reit,Real Estate
NRL,Northam Resources Limited,Class Pend
NRX,Noronex Limited,Materials
NRZ,Neurizer Ltd,Energy
NSB,Neuroscientific Biopharmaceuticals Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
NSC,Naos Small Cap Opportunities Company Limited,Not Applic
NSM,North Stawell Minerals Ltd,Materials
NSR,National Storage Reit,Real Estate
NST,Northern Star Resources Ltd,Materials
NSX,Nsx Limited,Diversified Financials
NTD,National Tyre & Wheel Limited,Retailing
NTI,Neurotech International Limited,Health Care Equipment & Services
NTL,New Talisman Gold Mines Limited,Materials
NTM,Nt Minerals Limited,Materials
NTO,Nitro Software Limited,Software & Services
NTU,Northern Minerals Limited,Materials
NUC,Nuchev Limited,"Food, Beverage & Tobacco"
NUF,Nufarm Limited,Materials
NUH,Nuheara Limited,Technology Hardware & Equipment
NVA,Nova Minerals Limited,Materials
NVU,Nanoveu Limited,Technology Hardware & Equipment
NVX,Novonix Limited,Technology Hardware & Equipment
NWC,New World Resources Limited,Materials
NWE,Norwest Energy Nl,Energy
NWF,Newfield Resources Limited,Materials
NWH,Nrw Holdings Limited,Capital Goods
NWL,Netwealth Group Limited,Diversified Financials
NWM,Norwest Minerals Limited,Materials
NWS,News Corporation..,Media & Entertainment
NWSLV,News Corporation..,Media & Entertainment
NXG,Nexgen Energy (Canada) Ltd,Energy
NXL,Nuix Limited,Software & Services
NXM,Nexus Minerals Limited,Materials
NXS,Next Science Limited,Health Care Equipment & Services
NXT,Nextdc Limited,Software & Services
NYM,Narryer Metals Limited,Materials
NYR,Nyrada Inc.,"Pharmaceuticals, Biotechnology & Life Sciences"
NZK,New Zealand King Salmon Investments Limited,"Food, Beverage & Tobacco"
NZM,Nzme Limited,Media & Entertainment
NZO,New Zealand Oil & Gas Limited,Energy
NZS,New Zealand Coastal Seafoods Limited,"Food, Beverage & Tobacco"
OAK,Oakridge International Limited,Software & Services
OAR,Oar Resources Limited,Materials
OAU,Ora Gold Limited,Materials
OBL,Omni Bridgeway Limited,Diversified Financials
OBM,Ora Banda Mining Ltd,Materials
OCA,Oceania Healthcare Limited,Health Care Equipment & Services
OCC,Orthocell Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
OCL,Objective Corporation Limited,Software & Services
OCN,Oceana Lithium Limited,Materials
OCT,Octava Minerals Limited,Materials
OD6,Od6 Metals Limited,Materials
ODA,Orcoda Limited,Software & Services
ODE,Odessa Minerals Limited,Materials
ODM,Odin Metals Limited,Materials
ODY,Odyssey Gold Ltd,Materials
OEC,Orbital Corporation Limited,Capital Goods
OEL,Otto Energy Limited,Energy
OEQ,Orion Equities Limited,Diversified Financials
OFX,Ofx Group Limited,Diversified Financials
OIL,Optiscan Imaging Limited,Health Care Equipment & Services
OKJ,Oakajee Corporation Limited,Materials
OKR,Okapi Resources Limited,Materials
OLH,Oldfields Holdings Limited,Capital Goods
OLI,Oliver'S Real Food Limited,Consumer Services
OLL,Openlearning Limited,Software & Services
OLLNB,Openlearning Limited,Software & Services
OLY,Olympio Metals Limited,Commercial & Professional Services
OM1,Omnia Metals Group Ltd,Materials
OMA,Omega Oil & Gas Limited,Energy
OMH,Om Holdings Limited,Materials
OML,Ooh!Media Limited,Media & Entertainment
OMX,Orange Minerals Nl,Materials
ONE,Oneview Healthcare Plc,Health Care Equipment & Services
OOK,Ookami Limited,Materials
OPH,Ophir High Conviction Fund,Not Applic
OPL,Opyl Limited,Software & Services
OPN,Openn Negotiation Limited,Commercial & Professional Services
OPT,Opthea Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
OPY,Openpay Group Ltd,Diversified Financials
ORA,Orora Limited,Materials
ORG,Origin Energy Limited,Energy
ORI,Orica Limited,Materials
ORM,Orion Metals Limited,Materials
ORN,Orion Minerals Ltd,Materials
ORP,Orpheus Minerals Ltd,Energy
ORR,Orecorp Limited,Materials
OSL,Oncosil Medical Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
OSM,Osmond Resources Limited,Materials
OSX,Osteopore Limited,Health Care Equipment & Services
OVN,Oventus Medical Limited,Health Care Equipment & Services
OXT,Orexplore Technologies Limited,Class Pend
OXX,Octanex Limited,Energy
OZL,Oz Minerals Limited,Materials
OZM,Ozaurum Resources Limited,Materials
OZZ,Ozz Resources Limited,Materials
PAA,Pharmaust Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
PAB,Patrys Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
PAC,Pacific Current Group Limited,Diversified Financials
PAI,Platinum Asia Investments Limited,Not Applic
PAM,Pan Asia Metals Limited,Materials
PAN,Panoramic Resources Limited,Materials
PAR,Paradigm Biopharmaceuticals Limited..,"Pharmaceuticals, Biotechnology & Life Sciences"
PAT,Patriot Lithium Limited,Materials
PBH,Pointsbet Holdings Limited,Consumer Services
PBL,Parabellum Resources Limited,Materials
PBP,Probiotec Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
PCG,Pengana Capital Group Limited,Diversified Financials
PCI,Perpetual Credit Income Trust,Not Applic
PCK,Painchek Ltd,Health Care Equipment & Services
PCL,Pancontinental Energy Nl,Energy
PDI,Predictive Discovery Limited,Materials
PDL,Pendal Group Limited,Diversified Financials
PDN,Paladin Energy Ltd,Energy
PE1,Pengana Private Equity Trust,Not Applic
PEB,Pacific Edge Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
PEC,Perpetual Resources Limited,Materials
PEK,Peak Rare Earths Limited,Materials
PEN,Peninsula Energy Limited,Energy
PET,Phoslock Environmental Technologies Limited,Commercial & Professional Services
PEX,Peel Mining Limited,Materials
PF1,Pathfinder Resources Ltd,Materials
PFE,Pantera Minerals Limited,Materials
PFG,Prime Financial Group Limited,Diversified Financials
PFP,Propel Funeral Partners Limited,Consumer Services
PFT,Pure Foods Tasmania Limited,"Food, Beverage & Tobacco"
PG1,Pearl Global Limited,Commercial & Professional Services
PGC,Paragon Care Limited,Health Care Equipment & Services
PGD,Peregrine Gold Ltd,Materials
PGF,Pm Capital Global Opportunities Fund Limited,Not Applic
PGG,Partners Group Global Income Fund,Not Applic
PGH,Pact Group Holdings Ltd,Materials
PGL,Prospa Group Limited.,Diversified Financials
PGM,Platina Resources Limited,Materials
PGO,Pacgold Limited,Materials
PGY,Pilot Energy Limited,Energy
PH2,Pure Hydrogen Corporation Limited,Energy
PHL,Propell Holdings Limited,Diversified Financials
PHO,Phosco Ltd,Materials
PIA,Pengana International Equities Limited,Not Applic
PIC,Perpetual Equity Investment Company Limited,Not Applic
PIL,Peppermint Innovation Limited,Software & Services
PIM,Pinnacle Minerals Limited,Materials
PIQ,Proteomics International Laboratories Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
PKD,Parkd Ltd,Commercial & Professional Services
PKO,Peako Limited,Materials
PL8,Plato Income Maximiser Limited.,Not Applic
PLG,Pearl Gull Iron Limited,Materials
PLL,Piedmont Lithium Inc.,Materials
PLS,Pilbara Minerals Limited,Materials
PLT,Plenti Group Limited,Diversified Financials
PLY,Playside Studios Limited,Media & Entertainment
PMC,Platinum Capital Limited,Not Applic
PME,Pro Medicus Limited,Health Care Equipment & Services
PMT,Patriot Battery Metals Inc.,Class Pend
PMV,Premier Investments Limited,Retailing
PNC,Pioneer Credit Limited,Diversified Financials
PNI,Pinnacle Investment Management Group Limited,Diversified Financials
PNM,Pacific Nickel Mines Limited,Materials
PNN,Power Minerals Limited,Materials
PNR,Pantoro Limited,Materials
PNT,Panther Metals Ltd,Materials
PNV,Polynovo Limited,Health Care Equipment & Services
PNX,Pnx Metals Limited,Materials
PO3,Purifloh Limited,Utilities
POD,Podium Minerals Limited,Materials
POL,Polymetals Resources Ltd,Materials
POS,Poseidon Nickel Limited,Materials
POW,Protean Energy Limited,Capital Goods
PPC,Peet Limited,Real Estate
PPE,Peoplein Limited,Commercial & Professional Services
PPG,Pro-Pac Packaging Limited,Materials
PPH,Pushpay Holdings Limited,Software & Services
PPK,Ppk Group Limited,Capital Goods
PPL,Pureprofile Ltd,Media & Entertainment
PPM,Pepper Money Limited,Banks
PPS,Praemium Limited,Software & Services
PPT,Perpetual Limited,Diversified Financials
PPY,Papyrus Australia Limited,Materials
PR1,Pure Resources Limited,Materials
PRL,Province Resources Ltd,Materials
PRM,Prominence Energy Limited,Energy
PRN,Perenti Limited,Materials
PRO,Prophecy International Holdings Limited,Software & Services
PRS,Prospech Limited.,Materials
PRT,Prt Company Limited,Media & Entertainment
PRU,Perseus Mining Limited,Materials
PRX,Prodigy Gold Nl,Materials
PSC,Prospect Resources Limited,Materials
PSI,Psc Insurance Group Limited,Insurance
PSL,Paterson Resources Ltd,Materials
PSQ,Pacific Smiles Group Limited,Health Care Equipment & Services
PTB,Ptb Group Limited,Capital Goods
PTG,Proptech Group Limited,Software & Services
PTL,Pental Limited,Household & Personal Products
PTM,Platinum Asset Management Limited,Diversified Financials
PTR,Petratherm Ltd,Materials
PTX,Prescient Therapeutics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
PUA,Peak Minerals Limited,Materials
PUR,Pursuit Minerals Ltd,Materials
PV1,Provaris Energy Ltd,Energy
PVE,Po Valley Energy Limited,Energy
PVL,Powerhouse Ventures Limited,Diversified Financials
PVS,Pivotal Systems Corporation,Semiconductors & Semiconductor Equipment
PVW,Pvw Resources Limited,Materials
PWH,Pwr Holdings Limited,Automobiles & Components
PWN,Parkway Corporate Limited,Materials
PWR,Peter Warren Automotive Holdings Limited,Retailing
PXA,Pexa Group Limited,Real Estate
PXS,Pharmaxis Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
PXX,Polarx Limited,Materials
PXXN,Polarx Limited,Materials
PYC,Pyc Therapeutics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
PYG,Paygroup Limited,Software & Services
PYR,Payright Limited,Diversified Financials
QAL,Qualitas Limited,Diversified Financials
QAN,Qantas Airways Limited,Transportation
QBE,Qbe Insurance Group Limited,Insurance
QEM,Qem Limited,Materials
QFE,Quickfee Limited,Diversified Financials
QGL,Quantum Graphite Limited,Materials
QHL,Quickstep Holdings Limited,Capital Goods
QIP,Qantm Intellectual Property Limited,Commercial & Professional Services
QML,Qmines Limited,Materials
QPM,Queensland Pacific Metals Limited,Materials
QRI,Qualitas Real Estate Income Fund,Not Applic
QUB,Qube Holdings Limited,Transportation
QUE,Queste Communications Limited,Diversified Financials
QVE,Qv Equities Limited,Not Applic
QXR,Qx Resources Limited,Materials
R3D,R3D Resources Limited,Media & Entertainment
R8R,Regener8 Resources Nl,Materials
RAC,Race Oncology Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
RAD,Radiopharm Theranostics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
RAG,Ragnar Metals Limited,Materials
RAN,Range International Limited,Materials
RAS,Ragusa Minerals Ltd,Diversified Financials
RB6,Rubix Resources Limited,Materials
RBD,Restaurant Brands New Zealand Limited,Consumer Services
RBL,Redbubble Limited,Retailing
RBR,Rbr Group Limited,Materials
RBX,Resource Base Limited.,Materials
RC1,Redcastle Resources Limited,Materials
RCE,Recce Pharmaceuticals Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
RCL,Readcloud Limited,Software & Services
RCR,Rincon Resources Limited,Materials
RCT,Reef Casino Trust,Consumer Services
RCW,Rightcrowd Limited,Software & Services
RDG,Resource Development Group Limited,Capital Goods
RDM,Red Metal Limited,Materials
RDN,Raiden Resources Limited,Materials
RDS,Redstone Resources Limited,Materials
RDT,Red Dirt Metals Limited,Materials
RDY,Readytech Holdings Limited,Software & Services
REA,Rea Group Ltd,Media & Entertainment
REC,Recharge Metals Limited,Materials
RED,Red 5 Limited,Materials
REE,Rarex Limited,Materials
REG,Regis Healthcare Limited,Health Care Equipment & Services
REH,Reece Limited,Capital Goods
REM,Remsense Technologies Limited,Capital Goods
REP,Ram Essential Services Property Fund,Real Estate
REX,Regional Express Holdings Limited,Transportation
REY,Rey Resources Limited,Energy
REZ,Resources & Energy Group Limited,Materials
RF1,Regal Investment Fund,Not Applic
RFA,Rare Foods Australia Limited,"Food, Beverage & Tobacco"
RFF,Rural Funds Group,Real Estate
RFG,Retail Food Group Limited,Consumer Services
RFR,Rafaella Resources Ltd.,Materials
RFT,Rectifier Technologies Ltd,Capital Goods
RFX,Redflow Limited,Capital Goods
RGI,Roto-Gro International Limited,Capital Goods
RGL,Riversgold Limited,Materials
RGS,Regeneus Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
RHC,Ramsay Health Care Limited,Health Care Equipment & Services
RHI,Red Hill Iron Limited,Materials
RHT,Resonance Health Limited,Health Care Equipment & Services
RHY,Rhythm Biosciences Limited,Health Care Equipment & Services
RIC,Ridley Corporation Limited,"Food, Beverage & Tobacco"
RIE,Riedel Resources Limited,Materials
RIM,Rimfire Pacific Mining Limited,Materials
RIO,Rio Tinto Limited,Materials
RKN,Reckon Limited,Software & Services
RLC,Reedy Lagoon Corporation Limited,Materials
RLF,Rlf Agtech Ltd,Materials
RLG,Roolife Group Ltd,Media & Entertainment
RLT,Renergen Limited,Energy
RMC,Resimac Group Ltd,Banks
RMD,Resmed Inc,Health Care Equipment & Services
RMI,Resource Mining Corporation Limited,Materials
RML,Resolution Minerals Ltd,Materials
RMS,Ramelius Resources Limited,Materials
RMX,Red Mountain Mining Limited,Materials
RMY,Rma Global Limited,Media & Entertainment
RND,Rand Mining Limited,Materials
RNE,Renu Energy Limited,Utilities
RNO,Rhinomed Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
RNT,Rent.Com.Au Limited,Media & Entertainment
RNU,Renascor Resources Limited,Energy
RNX,Renegade Exploration Limited,Materials
ROC,Rocketboots Limited,Software & Services
ROG,Red Sky Energy Limited.,Energy
RON,Ronin Resources Ltd,Materials
ROO,Roots Sustainable Agricultural Technologies Ltd,Capital Goods
RPG,Raptis Group Limited,Real Estate
RPL,Regal Partners Limited,Diversified Financials
RPM,Rpm Automotive Group Limited,Automobiles & Components
RR1,Reach Resources Limited,Materials
RRL,Regis Resources Limited,Materials
RRR,Revolver Resources Holdings Ltd,Materials
RSG,Resolute Mining Limited,Materials
RSH,Respiri Limited,Health Care Equipment & Services
RTE,Retech Technology Co. Limited,Consumer Services
RTG,Rtg Mining Inc.,Materials
RTH,Ras Technology Holdings Limited,Commercial & Professional Services
RTR,Rumble Resources Limited,Materials
RUL,Rpmglobal Holdings Limited,Software & Services
RVR,Red River Resources Limited,Materials
RVS,Revasum Inc.,Semiconductors & Semiconductor Equipment
RVT,Richmond Vanadium Technology Limited,Class Pend
RWC,Reliance Worldwide Corporation Limited,Capital Goods
RWD,Reward Minerals Ltd,Materials
RWL,Rubicon Water Limited,Technology Hardware & Equipment
RXH,Rewardle Holdings Limited,Media & Entertainment
RXL,Rox Resources Limited,Materials
RXM,Rex Minerals Limited,Materials
RYD,Ryder Capital Limited,Not Applic
RZI,Raiz Invest Limited,Diversified Financials
S2R,S2 Resources Ltd,Materials
S32,South32 Limited,Materials
S3N,Sensore Ltd.,Class Pend
S66,Star Combo Pharma Limited,Household & Personal Products
SAN,Sagalio Energy Limited,Energy
SAU,Southern Gold Limited,Materials
SB2,Salter Brothers Emerging Companies Limited,Not Applic
SBM,St Barbara Limited,Materials
SBR,Sabre Resources Limited,Materials
SBW,Shekel Brainweigh Ltd,Software & Services
SC1,Source Certain International Limited,Commercial & Professional Services
SCG,Scentre Group,Real Estate
SCL,Schrole Group Ltd,Software & Services
SCN,Scorpion Minerals Limited,Materials
SCP,Shopping Centres Australasia Property Group,Real Estate
SCT,Scout Security Limited,Consumer Services
SCU,Stemcell United Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
SCUN,Stemcell United Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
SDF,Steadfast Group Limited,Insurance
SDG,Sunland Group Limited,Real Estate
SDI,Sdi Limited,Health Care Equipment & Services
SDR,Siteminder Limited,Consumer Services
SDV,Scidev Ltd,Materials
SE1,Sensera Limited,Semiconductors & Semiconductor Equipment
SEC,Spheria Emerging Companies Limited,Not Applic
SEG,Sports Entertainment Group Limited,Media & Entertainment
SEK,Seek Limited,Media & Entertainment
SEN,Senetas Corporation Limited,Technology Hardware & Equipment
SEQ,Sequoia Financial Group Ltd,Diversified Financials
SER,Strategic Energy Resources Limited,Materials
SES,Secos Group Ltd,Materials
SFC,Schaffer Corporation Limited,Automobiles & Components
SFG,Seafarms Group Limited,"Food, Beverage & Tobacco"
SFM,Santa Fe Minerals Ltd,Materials
SFR,Sandfire Resources Limited,Materials
SFX,Sheffield Resources Limited,Materials
SGA,Sarytogan Graphite Limited,Materials
SGC,Sacgasco Limited,Energy
SGF,Sg Fleet Group Limited,Commercial & Professional Services
SGH,Slater & Gordon Limited,Consumer Services
SGI,Stealth Global Holdings Ltd,Capital Goods
SGLLV,Ricegrowers Limited,"Food, Beverage & Tobacco"
SGM,Sims Limited,Materials
SGP,Stockland,Real Estate
SGQ,St George Mining Limited,Materials
SGR,The Star Entertainment Group Limited,Consumer Services
SHA,Shape Australia Corporation Limited,Capital Goods
SHE,Stonehorse Energy Limited,Energy
SHG,Singular Health Group Ltd,Health Care Equipment & Services
SHH,Shree Minerals Limited,Materials
SHJ,Shine Justice Ltd,Consumer Services
SHL,Sonic Healthcare Limited,Health Care Equipment & Services
SHM,Shriro Holdings Limited,Consumer Durables & Apparel
SHN,Sunshine Gold Limited,Materials
SHO,Sportshero Limited,Media & Entertainment
SHP,South Harz Potash Ltd,Materials
SHV,Select Harvests Limited,"Food, Beverage & Tobacco"
SI6,Si6 Metals Limited,Materials
SIG,Sigma Healthcare Limited,Health Care Equipment & Services
SIH,Sihayo Gold Limited,Materials
SIO,Simonds Group Limited,Consumer Durables & Apparel
SIQ,Smartgroup Corporation Ltd,Commercial & Professional Services
SIS,Simble Solutions Limited,Software & Services
SIT,Site Group International Limited,Consumer Services
SIV,Siv Capital Limited,Capital Goods
SIX,Sprintex Limited,Automobiles & Components
SKC,Skycity Entertainment Group Limited,Consumer Services
SKF,Skyfii Ltd,Software & Services
SKN,Skin Elements Limited,Household & Personal Products
SKO,Serko Limited,Software & Services
SKS,Sks Technologies Group Limited,Capital Goods
SKT,Sky Network Television Limited.,Media & Entertainment
SKY,Sky Metals Limited,Materials
SLA,Silk Laser Australia Limited,Health Care Equipment & Services
SLB,Stelar Metals Limited,Class Pend
SLC,Superloop Limited,Telecommunication Services
SLH,Silk Logistics Holdings Limited,Transportation
SLM,Solis Minerals Ltd.,Materials
SLR,Silver Lake Resources Limited,Materials
SLS,Solstice Minerals Limited,Materials
SLX,Silex Systems Limited,Semiconductors & Semiconductor Equipment
SLZ,Sultan Resources Ltd,Materials
SM1,Synlait Milk Limited,"Food, Beverage & Tobacco"
SMI,Santana Minerals Limited,Materials
SMN,Structural Monitoring Systems Plc,Technology Hardware & Equipment
SMP,Smartpay Holdings Limited,Software & Services
SMR,Stanmore Resources Limited,Energy
SMS,Star Minerals Limited,Materials
SMX,Security Matters Limited,Software & Services
SNC,Sandon Capital Investments Limited,Not Applic
SND,Saunders International Limited,Capital Goods
SNG,Siren Gold Limited,Materials
SNL,Supply Network Limited,Retailing
SNS,Sensen Networks Limited,Software & Services
SNX,Sierra Nevada Gold Inc.,Materials
SNZ,Summerset Group Holdings Limited,Health Care Equipment & Services
SO4,Salt Lake Potash Limited,Materials
SOL,Washington H Soul Pattinson & Company Limited,Energy
SOM,Somnomed Limited,Health Care Equipment & Services
SOP,Synertec Corporation Limited,Commercial & Professional Services
SOR,Strategic Elements Limited,Diversified Financials
SOV,Sovereign Cloud Holdings Limited,Software & Services
SP3,Spectur Limited,Technology Hardware & Equipment
SPA,Spacetalk Ltd,Software & Services
SPD,Southern Palladium Limited,Materials
SPK,Spark New Zealand Limited,Telecommunication Services
SPL,Starpharma Holdings Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
SPN,Sparc Technologies Limited,Materials
SPQ,Superior Resources Limited,Materials
SPT,Splitit Payments Ltd,Software & Services
SPX,Spenda Limited,Software & Services
SPZ,Smart Parking Limited,Technology Hardware & Equipment
SQ2,Block Inc.,Software & Services
SRG,Srg Global Limited,Capital Goods
SRH,Saferoads Holdings Limited,Transportation
SRI,Sipa Resources Limited,Materials
SRJ,Srj Technologies Group Plc,Energy
SRK,Strike Resources Limited,Materials
SRL,Sunrise Energy Metals Limited,Materials
SRN,Surefire Resources Nl,Materials
SRR,Sarama Resources Ltd,Materials
SRV,Servcorp Limited,Real Estate
SRX,Sierra Rutile Holdings Limited,Materials
SRY,Story-I Limited,Retailing
SRZ,Stellar Resources Limited,Materials
SSG,Shaver Shop Group Limited,Retailing
SSH,Ssh Group Ltd,Energy
SSL,Sietel Limited,Real Estate
SSM,Service Stream Limited,Capital Goods
SSR,Ssr Mining Inc.,Materials
SST,Steamships Trading Company Limited,Capital Goods
ST1,Spirit Technology Solutions Ltd,Telecommunication Services
STA,Strandline Resources Limited,Materials
STG,Straker Translations Limited,Media & Entertainment
STK,Strickland Metals Limited,Materials
STM,Sunstone Metals Ltd,Materials
STN,Saturn Metals Limited,Materials
STO,Santos Limited,Energy
STP,Step One Clothing Limited,Retailing
STX,Strike Energy Limited,Energy
SUH,Southern Hemisphere Mining Limited,Materials
SUL,Super Retail Group Limited,Retailing
SUM,Summit Minerals Limited,Materials
SUN,Suncorp Group Limited,Insurance
SUV,Suvo Strategic Minerals Limited,Materials
SVG,Savannah Goldfields Limited,Materials
SVL,Silver Mines Limited,Materials
SVM,Sovereign Metals Limited,Materials
SVW,Seven Group Holdings Limited,Capital Goods
SVY,Stavely Minerals Limited,Materials
SW1,Swift Networks Group Limited,Media & Entertainment
SWF,Selfwealth Limited,Diversified Financials
SWM,Seven West Media Limited,Media & Entertainment
SWP,Swoop Holdings Limited,Telecommunication Services
SXE,Southern Cross Electrical Engineering Ltd,Capital Goods
SXG,Southern Cross Gold Ltd,Materials
SXL,Southern Cross Media Group Limited,Media & Entertainment
